Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Longitude,Latitude
2022,113,110689,108118,Melbourne (CBD),Yianis Seafood,"Stall 33, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),QV Meats,"Stall 39, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Thompsons Unique Meats,"Stall 12-13, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Sardes Quality Meat Pty Ltd,"Stall 10, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Queen Vic Gourmet Meats,"Stall 22, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Hagen's Organics,"Stall 16, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Primo @ Vic,"Stall 6, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Poultry King,"Stall 8, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),George The Fishmonger,"Stall 35, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),TT's Bros,"Stall 25, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),Amott Quality Meats,"Stall 38, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110689,108118,Melbourne (CBD),W R King (Smallgoods) Pty Limited,"Stall 24, 525 Elizabeth Street MELBOURNE VIC 3000",4121,"Fresh Meat, Fish and Poultry Retailing",144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),Bills Farm,"Stall 17-20, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),McIver's Coffee & Tea Merchants,"Stall 101-102, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),Mork Chocolate,"Stall 51-54, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),The Land Of Soy & Honey,"Stall 10-11, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),Hellenic Deli,"Stall 39-40, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),Curds & Whey,"Stall 12-13, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110691,108118,Melbourne (CBD),Tribal Tastes Foods,"Stall 83, 60 Therry Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
